0	Клиент	O
0	Виноградов	B-FAMILY
0	Павел	B-NAME
0	сообщил	O
0	паспорт	O
0	4464	B-PASSPORT
0	947285,	I-PASSPORT
0	СНИЛС	O
0	139-898-681	B-SNILS
0	67	I-SNILS
0	и	O
0	номер	O
0	банковской	O
0	карты	O
0	8875	B-CARD
0	4394	I-CARD
0	3535	I-CARD
0	3751	I-CARD
0	для	O
0	безопасной	O
0	оплаты.	O

1	В	O
1	акте	O
1	о	O
1	заключении	O
1	брака	O
1	указан	O
1	номер	O
1	свидетельства	O
1	о	O
1	браке	O
1	33-494609	B-MARRIAGE
1	на	O
1	имя	O
1	Тамара	B-FAMILY
1	Семеновна,	B-NAME
1	СНИЛС	O
1	037-314-530	B-SNILS
1	85.	I-SNILS

2	Клиент	O
2	Корнилова	B-FAMILY
2	Прасковья	B-NAME
2	сообщил	O
2	паспорт	O
2	4747	B-PASSPORT
2	193298,	I-PASSPORT
2	СНИЛС	O
2	529-108-677	B-SNILS
2	15	I-SNILS
2	и	O
2	номер	O
2	банковской	O
2	карты	O
2	4476	B-CARD
2	2639	I-CARD
2	3436	I-CARD
2	2620	I-CARD
2	для	O
2	безопасной	O
2	оплаты.	O

3	В	O
3	ЗАГС	O
3	поданы	O
3	документы:	O
3	свидетельство	O
3	о	O
3	браке	O
3	03-571351,	B-MARRIAGE
3	паспорт	O
3	1293	B-PASSPORT
3	106131,	I-PASSPORT
3	телефон	O
3	+7-989-292-13-36.	B-PHONE

4	В	O
4	акте	O
4	о	O
4	заключении	O
4	брака	O
4	указан	O
4	номер	O
4	свидетельства	O
4	о	O
4	браке	O
4	36-189691	B-MARRIAGE
4	на	O
4	имя	O
4	Нинель	B-FAMILY
4	Федоровна,	B-NAME
4	СНИЛС	O
4	509-549-305	B-SNILS
4	92.	I-SNILS

5	Клиент	O
5	Кира	B-FAMILY
5	Альбертовна	B-NAME
5	сообщил	O
5	паспорт	O
5	2762	B-PASSPORT
5	736795,	I-PASSPORT
5	СНИЛС	O
5	964-985-601	B-SNILS
5	23	I-SNILS
5	и	O
5	номер	O
5	банковской	O
5	карты	O
5	3135	B-CARD
5	5251	I-CARD
5	0505	I-CARD
5	3795	I-CARD
5	для	O
5	безопасной	O
5	оплаты.	O

6	В	O
6	договоре	O
6	аренды	O
6	указан	O
6	кадастровый	O
6	номер	O
6	16:40:347879:7021	B-CADASTRAL
6	и	O
6	контакт	O
6	арендатора	O
6	Бенедиктович	B-NAME
6	Доброслав,	B-FAMILY
6	телефон	O
6	+7-989-497-96-98.	B-PHONE

7	В	O
7	выписке	O
7	ЕГРН	O
7	указан	O
7	кадастровый	O
7	номер	O
7	объекта	O
7	43:60:922072:6783;	B-CADASTRAL
7	владелец	O
7	Гаврила	B-FAMILY
7	Афанасьевич,	B-NAME
7	паспорт	O
7	4812	B-PASSPORT
7	843007.	I-PASSPORT

8	Клиент	O
8	Станимир	B-FAMILY
8	Гаврилович	B-NAME
8	сообщил	O
8	паспорт	O
8	7408	B-PASSPORT
8	303721,	I-PASSPORT
8	СНИЛС	O
8	976-461-368	B-SNILS
8	35	I-SNILS
8	и	O
8	номер	O
8	банковской	O
8	карты	O
8	8360	B-CARD
8	7658	I-CARD
8	1739	I-CARD
8	0637	I-CARD
8	для	O
8	безопасной	O
8	оплаты.	O

9	На	O
9	портале	O
9	госуслуг	O
9	подтверждён	O
9	брак	O
9	по	O
9	свидетельству	O
9	12-770513;	B-MARRIAGE
9	контактное	O
9	лицо	O
9	Виктория	B-NAME
9	Муравьева,	B-FAMILY
9	ИНН	O
9	660392051460,	B-INN
9	СНИЛС	O
9	745-553-470	B-SNILS
9	41.	I-SNILS

10	В	O
10	личном	O
10	деле	O
10	сотрудника	O
10	Юдин	B-FAMILY
10	Константин	B-NAME
10	указаны	O
10	документы:	O
10	паспорт	O
10	9992	B-PASSPORT
10	971598,	I-PASSPORT
10	ИНН	O
10	338167423362,	B-INN
10	СНИЛС	O
10	934-497-347	B-SNILS
10	10,	I-SNILS
